Yes  it is true - Carlos Slim  the great businessman from Mexico  called me about getting together for a meeting. We met  HE IS A GREAT GUY!	15764
especially how to get people  even with an unlimited budget  out to vote in the vital swing states ( and more). They focused on wrong states	9006
Bill Clinton stated that I called him after the election. Wrong  he called me (with a very nice congratulations). He "doesn't know much" ...	18960
"@mike_pence: Congratulations to @RealDonaldTrump; officially elected President of the United States today by the Electoral College!"	15554
"@Franklin_Graham: Congratulations to President-elect @realDonaldTrump--the electoral votes are in and it's official." Thank you Franklin!	10502
We did it! Thank you to all of my great supporters  we just officially won the election (despite all of the distorted and inaccurate media).	59995
Today there were terror attacks in Turkey  Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!	39885
If my many supporters acted and threatened people like those who lost the election are doing  they would be scorned &amp; called terrible names!	36798
We should tell China that we don't want the drone they stole back.- let them keep it!	18129
China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.	19569
Mobile  Alabama today at 3:00 P.M. Last rally of the year - "THANK YOU ALABAMA AND THE SOUTH" Biggest of all crowds expected  see you there!	8245
"@EazyMF_E: @realDonaldTrump Many people are now saying you will be an extremely successful president! #MakeAmericaGreatAgain"  Thank you!	7117
Last night in Orlando  Florida  was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!	6431
Well  we all did it  together! I hope the "MOVEMENT" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!	18263
Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?	33916
Join me in Mobile  Alabama on Sat. at 3pm! #ThankYouTour2016  Tickets: https://t.co/GGgbjl8Zo6 https://t.co/opKrWO4k0C	5575
If Russia  or some other entity  was hacking  why did the White House wait so long to act? Why did they only complain after Hillary lost?	41110
The media tries so hard to make my move to the White House  as it pertains to my business  so complex - when actually it isn't!	13886
Thank you to Time Magazine and Financial Times for naming me "Person of the Year" - a great honor!	10801
Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down  big trouble  dead! Graydon Carter  no talent  will be out!	8958
.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9	14193
The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.	14738
Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!	18427
I have chosen one of the truly great business leaders of the world  Rex Tillerson  Chairman and CEO of ExxonMobil  to be Secretary of State.	23359
I will hold a press conference in the near future to discuss the business  Cabinet picks and all other topics of interest. Busy times!	10511
Presidency. Two of my children  Don and Eric  plus executives  will manage them. No new deals will be done during my term(s) in office.	9752
Even though I am not mandated by law to do so  I will be leaving my busineses before January 20th so that I can focus full time on the......	12178
I will be making my announcement on the next Secretary of State tomorrow morning.	16833
The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!	29931
The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.	16442
Unless you catch "hackers" in the act  it is very hard to determine who was doing the hacking. Why wasn't this brought up before election?	15921
Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!	34592
Just watched @NBCNightlyNews - So biased  inaccurate and bad  point after point. Just can't get much worse  although @CNN is right up there!	20106
Will be interviewed on @FoxNews at 10:00 P.M. Enjoy!	5418
